item	itemLabel	itemDescription	cui
http://www.wikidata.org/entity/Q937076	spinal nerve	nerve that carries signals between the spinal chord and the body	C0037941
http://www.wikidata.org/entity/Q936070	trismus	medical problem of jaw clenching	C0041105
http://www.wikidata.org/entity/Q930843	ethyl maltol	chemical compound	C0059773
http://www.wikidata.org/entity/Q918285	adrenocortical carcinoma	adrenal cortex cancer that forms in the outer layer of tissue of the adrenal gland and that has material basis in abnormally proliferating cells derives from epithelial cells	C0206686
http://www.wikidata.org/entity/Q918518	Zygomatic nerve	nerve of the face	C0228726
http://www.wikidata.org/entity/Q927160	Bronchophony	abnormal transmission of sounds from bronchi	C0231870
http://www.wikidata.org/entity/Q921907	Charles Bonnet syndrome	visual disturbances and the experience of complex visual hallucinations in a blind person	C0339731
http://www.wikidata.org/entity/Q928378	zafirlukast	chemical compound	C0378466
http://www.wikidata.org/entity/Q928424	Barth syndrome	lipid metabolism disorder that has material basis in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin	C0574083
http://www.wikidata.org/entity/Q913856	Friedreich ataxia	Human disease	C1399354
http://www.wikidata.org/entity/Q17121807	hemifacial hypertrophy	human disease	C1399354
http://www.wikidata.org/entity/Q913856	Friedreich ataxia	Human disease	C1847416
http://www.wikidata.org/entity/Q936070	trismus	medical problem of jaw clenching	C1848474
http://www.wikidata.org/entity/Q913856	Friedreich ataxia	Human disease	C1856689
http://www.wikidata.org/entity/Q924285	wormian bone	extra bone piece that can occur within a suture (joint) in the skull	C3553900
http://www.wikidata.org/entity/Q936070	trismus	medical problem of jaw clenching	C4228933
http://www.wikidata.org/entity/Q936070	trismus	medical problem of jaw clenching	C4280672
http://www.wikidata.org/entity/Q959457	syndrome of Inappropriate antidiuretic hormone secretion	endocrine disease	C0021141
http://www.wikidata.org/entity/Q953049	papilledema	Human disease	C0030353
http://www.wikidata.org/entity/Q7098800	Optic papillitis	Human disease	C0030353
http://www.wikidata.org/entity/Q946278	tracheitis	inflammation of the trachea	C0040584
http://www.wikidata.org/entity/Q946278	tracheitis	inflammation of the trachea	C0149513
http://www.wikidata.org/entity/Q959383	solar urticaria	skin disease	C0263610
http://www.wikidata.org/entity/Q945225	ventricular hypertrophy	thickening of the walls of a ventricle (lower chamber) of the heart	C0340279
http://www.wikidata.org/entity/Q979564	Bowen's disease	disease	C0006079
http://www.wikidata.org/entity/Q977090	vulvovaginal candidiasis	excessive growth of yeast in the vagina that results in irritation	C0006852
http://www.wikidata.org/entity/Q974691	epidermodysplasia verruciformis	Human disease	C0014522
http://www.wikidata.org/entity/Q974869	leukocytosis	condition in which the white cell count in blood is above the normal range eso indica que hay una infección en el cuerpo o un malestar.	C0023518
http://www.wikidata.org/entity/Q994794	noma	Gangrenous infection of the mouth and face	C0028271
http://www.wikidata.org/entity/Q973331	crackles	respiratory condition	C0034642
http://www.wikidata.org/entity/Q974231	utricle	membranous labyrinth in the vestibule of ear	C0042158
http://www.wikidata.org/entity/Q991037	Brown-Séquard syndrome	Human disease	C0242644
http://www.wikidata.org/entity/Q977090	vulvovaginal candidiasis	excessive growth of yeast in the vagina that results in irritation	C0700345
http://www.wikidata.org/entity/Q975088	oligodactyly	Presence of four or fewer digits on a hand or foot	C0728895
http://www.wikidata.org/entity/Q55787040	adactyly of hand	human disease	C0728895
http://www.wikidata.org/entity/Q975088	oligodactyly	Presence of four or fewer digits on a hand or foot	C3887496
http://www.wikidata.org/entity/Q1026326	calciphylaxis	Human disease	C0006666
http://www.wikidata.org/entity/Q1036696	hypothermia	condition in which core temperature drops below the required temperature for normal metabolism and body functions	C0020672
http://www.wikidata.org/entity/Q1035226	Caput medusae	appearance of distended and engorged superficial epigastric veins	C0221226
http://www.wikidata.org/entity/Q1023604	CHARGE syndrome	syndrome that is characterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina	C0265354
http://www.wikidata.org/entity/Q1022718	CADASIL	autosomal dominant cerebrovascular disorder characterized by recurrent subcortical ischemic stroke and cognitive impairment	C0751587
http://www.wikidata.org/entity/Q1022718	CADASIL	autosomal dominant cerebrovascular disorder characterized by recurrent subcortical ischemic stroke and cognitive impairment	C1272305
http://www.wikidata.org/entity/Q1023604	CHARGE syndrome	syndrome that is characterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina	C2936502
http://www.wikidata.org/entity/Q1068997	cheilitis	inflammation of the lips	C0007971
http://www.wikidata.org/entity/Q1072420	primary biliary cirrhosis	liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts	C0008312
http://www.wikidata.org/entity/Q1051355	conversion disorder	physical illness or symptoms caused by serious emotional stress	C0009946
http://www.wikidata.org/entity/Q1073333	dyphylline	group of stereoisomers	C0013360
http://www.wikidata.org/entity/Q1052626	pulmonary hemosiderosis	human disease	C0020807
http://www.wikidata.org/entity/Q4976388	Brown induration	no description	C0020807
http://www.wikidata.org/entity/Q1053470	insulin resistance	human disease	C0021655
http://www.wikidata.org/entity/Q1072420	primary biliary cirrhosis	liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts	C0023892
http://www.wikidata.org/entity/Q1047551	Pinealoma	tumor in endocrine gland located in the pineal gland located in the brain	C0031941
http://www.wikidata.org/entity/Q56014680	pineal parenchymal cell neoplasm	no description	C0031941
http://www.wikidata.org/entity/Q1053824	Raynaud disease	Human disease	C0034734
http://www.wikidata.org/entity/Q1053824	Raynaud disease	Human disease	C0034735
http://www.wikidata.org/entity/Q1064403	semicircular canal	tube located inside the ear	C0036622
http://www.wikidata.org/entity/Q1074056	triamcinolone	chemical compound	C0040864
http://www.wikidata.org/entity/Q1060922	(RS)-oxybutynin	bladder medication	C0069805
http://www.wikidata.org/entity/Q1048573	tubulopathy	medical condition	C0151747
http://www.wikidata.org/entity/Q1047551	Pinealoma	tumor in endocrine gland located in the pineal gland located in the brain	C0153655
http://www.wikidata.org/entity/Q1066311	complex regional pain syndrome	condition	C0458219
http://www.wikidata.org/entity/Q1066345	Bowman's capsule	kidney structure which encloses the glomerular	C0524448
http://www.wikidata.org/entity/Q1047551	Pinealoma	tumor in endocrine gland located in the pineal gland located in the brain	C1412004
http://www.wikidata.org/entity/Q1051786	calvarial hyperostosis	human disease	C1863351
http://www.wikidata.org/entity/Q1053470	insulin resistance	human disease	C3714619
http://www.wikidata.org/entity/Q1068997	cheilitis	inflammation of the lips	C4280288
http://www.wikidata.org/entity/Q1051786	calvarial hyperostosis	human disease	C4280519
http://www.wikidata.org/entity/Q1051786	calvarial hyperostosis	human disease	C4280520
http://www.wikidata.org/entity/Q1075981	cholemia	medical condition	C0008352
http://www.wikidata.org/entity/Q1088156	chronic lymphocytic leukemia	lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood	C0023434
http://www.wikidata.org/entity/Q1077139	tic disorder	range of neurodevelopmental conditions	C0040188
http://www.wikidata.org/entity/Q1079316	optic (nerve) tract	nerve fiber originating from the optic chiasm	C0152405
http://www.wikidata.org/entity/Q66558675	optic nerve-tract complex	no description	C0152405
http://www.wikidata.org/entity/Q1090174	Chvostek sign	clinical sign of existing nerve hyperexcitability	C0234180
http://www.wikidata.org/entity/Q1097688	non-parametric statistics	branch of statistics that is not based solely on parametrized families of probability distributions	C0242932
http://www.wikidata.org/entity/Q1088030	chronic inflammatory demyelinating polyradiculoneuropathy	acquired immune-mediated inflammatory disorder of the peripheral nervous system	C0393819
http://www.wikidata.org/entity/Q50357589	chronic inflammatory demyelinating polyneuritis	An immunologic inflammatory disorder characterized by loss of myelin in the peripheral nerves. Patients present with progressive weakness and loss of sensory function in the legs and arms.	C0393819
http://www.wikidata.org/entity/Q1088156	chronic lymphocytic leukemia	lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood	C0855095
http://www.wikidata.org/entity/Q1076369	cytokine storm	potentially fatal immune reaction	C0919747
http://www.wikidata.org/entity/Q1088030	chronic inflammatory demyelinating polyradiculoneuropathy	acquired immune-mediated inflammatory disorder of the peripheral nervous system	C1841700
http://www.wikidata.org/entity/Q1088156	chronic lymphocytic leukemia	lymphoblastic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood	C1868683
http://www.wikidata.org/entity/Q55950183	leukemia, chronic lymphocytic, susceptibility to, 2	human disease	C1868683
http://www.wikidata.org/entity/Q1145668	hemolytic anemia	form of anemia due to hemolysis	C0002878
http://www.wikidata.org/entity/Q1140000	Crigler-Najjar syndrome	bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT)	C0010324
http://www.wikidata.org/entity/Q1130519	heart valve disease	disease in the valves of the heart	C0018824
http://www.wikidata.org/entity/Q1126769	paresis	condition typified by a weakness of voluntary movement	C0018989
http://www.wikidata.org/entity/Q2291130	hemiparesis	weakness of one side of the body	C0018989
http://www.wikidata.org/entity/Q1131260	keloid	elevated mark on the skin caused by deposits of collagen during wound healing	C0022548
http://www.wikidata.org/entity/Q1127727	melorheostosis	osteosclerosis that has material basis in a mutation of the LEMD3 gene which results in a hyperdense bony cortex	C0025239
http://www.wikidata.org/entity/Q1132056	myofascial pain syndrome	human disease	C0027073
http://www.wikidata.org/entity/Q1129111	Philadelphia chromosome	specific chromosomal abnormality	C0031526
http://www.wikidata.org/entity/Q1130519	heart valve disease	disease in the valves of the heart	C0079485
http://www.wikidata.org/entity/Q26695943	heart valve prolapse	Human disease	C0079485
http://www.wikidata.org/entity/Q1145668	hemolytic anemia	form of anemia due to hemolysis	C0221021
http://www.wikidata.org/entity/Q2063651	Microangiopathic hemolytic anemia	symptom	C0221021
http://www.wikidata.org/entity/Q55998622	primary shunt hyperbilirubinemia	human disease	C0221021
http://www.wikidata.org/entity/Q1130519	heart valve disease	disease in the valves of the heart	C0241654
http://www.wikidata.org/entity/Q1112752	Watson syndrome	medical condition	C0553586
http://www.wikidata.org/entity/Q1128440	toxic shock syndrome	condition caused by bacterial toxins	C0600327
http://www.wikidata.org/entity/Q1136569	prenatal testing	testing and prenatal care that focus on detecting problems with the pregnancy as early as possible	C1456692
http://www.wikidata.org/entity/Q2006075	prenatal testing	no description	C1456692
http://www.wikidata.org/entity/Q1128431	vaginismus	condition in which involuntary muscle spasm interferes with penetration of the vagina	C2004487
http://www.wikidata.org/entity/Q1131260	keloid	elevated mark on the skin caused by deposits of collagen during wound healing	C3149494
http://www.wikidata.org/entity/Q1127727	melorheostosis	osteosclerosis that has material basis in a mutation of the LEMD3 gene which results in a hyperdense bony cortex	C3149631
http://www.wikidata.org/entity/Q1169164	bendroflumethiazide	chemical compound	C0004975
http://www.wikidata.org/entity/Q1185089	butorphanol	chemical compound	C0006491
http://www.wikidata.org/entity/Q1153171	decompression illness	disorders arising from ambient pressure reduction	C0011119
http://www.wikidata.org/entity/Q1150189	stasis dermatitis	medical condition	C0011620
http://www.wikidata.org/entity/Q1179460	Fanconi syndrome	renal tubular transport disease of the proximal renal tubes characterized by glucosuria, phosphaturia, generalized aminoaciduria and HCO3 wasting	C0015624
http://www.wikidata.org/entity/Q1147182	fecal incontinence	inability to refrain from defecation	C0015732
http://www.wikidata.org/entity/Q1175385	mephenytoin	chemical compound	C0025381
http://www.wikidata.org/entity/Q1151801	Waardenburg's syndrome	Genetic condition involving hearing loss and depigmentation	C0079661
http://www.wikidata.org/entity/Q32145117	Waardenburg syndrome type 3	human disease	C0079661
http://www.wikidata.org/entity/Q1172095	patellar tendon	continuation of the quadriceps tendon, with the patella embedded in it, inserting onto the tibial tuberosity	C0206332
http://www.wikidata.org/entity/Q1172076	hepatocellular adenoma	Hepatocellular adenoma (HA) is a rare benign tumor of the liver	C0206669
http://www.wikidata.org/entity/Q1170013	acute undifferentiated leukemia	rare acute leukemia of ambiguous lineage in which the blasts do not express markers specific to myeloid or lymphoid lineage	C0280141
http://www.wikidata.org/entity/Q1179460	Fanconi syndrome	renal tubular transport disease of the proximal renal tubes characterized by glucosuria, phosphaturia, generalized aminoaciduria and HCO3 wasting	C0341703
http://www.wikidata.org/entity/Q56014625	Fanconi renotubular syndrome 1	human disease	C0341703
http://www.wikidata.org/entity/Q1170013	acute undifferentiated leukemia	rare acute leukemia of ambiguous lineage in which the blasts do not express markers specific to myeloid or lymphoid lineage	C0856823
http://www.wikidata.org/entity/Q976388	acute leukemia	Human disease	C1378511
http://www.wikidata.org/entity/Q1170013	acute undifferentiated leukemia	rare acute leukemia of ambiguous lineage in which the blasts do not express markers specific to myeloid or lymphoid lineage	C1378511
http://www.wikidata.org/entity/Q1151801	Waardenburg's syndrome	Genetic condition involving hearing loss and depigmentation	C1847800
http://www.wikidata.org/entity/Q3508711	Waardenburg syndrome type 1	human disease	C1847800
http://www.wikidata.org/entity/Q1151801	Waardenburg's syndrome	Genetic condition involving hearing loss and depigmentation	C3266898
http://www.wikidata.org/entity/Q56014317	Waardenburg-Shah syndrome	Waardenburg-Shah syndrome (WSS) is a neurocristopathy characterized by the association of Waardenburg syndrome (sensorineural hearing loss and pigmentary abnormalities; see this term) and Hirschsprung disease (see this term)	C3266898
http://www.wikidata.org/entity/Q1193891	retrograde amnesia	loss of memory of events that in occurred before the onset of amnesiac condition	C0002624
http://www.wikidata.org/entity/Q1224954	digital subtraction angiography	method for delineating blood vessels using contrast medium	C0002979
http://www.wikidata.org/entity/Q1227160	diphyllobothriasis	helminthiasis	C0012561
http://www.wikidata.org/entity/Q1218293	lysis	breaking open the membrane of a cell	C0024348
http://www.wikidata.org/entity/Q1209744	uterine cancer	female reproductive organ cancer that is located in the uterus	C0042138
http://www.wikidata.org/entity/Q56014517	uterine neoplasm	neoplasm (disease) that involves the uterus	C0042138
http://www.wikidata.org/entity/Q1209744	uterine cancer	female reproductive organ cancer that is located in the uterus	C0153567
http://www.wikidata.org/entity/Q1199997	derealization	feeling as though the external world is not real	C0233754
http://www.wikidata.org/entity/Q1227160	diphyllobothriasis	helminthiasis	C0277032
http://www.wikidata.org/entity/Q1229353	distal radius fracture	break of the part of the radius bone which is close to the wrist	C0435585
http://www.wikidata.org/entity/Q1216264	nelarabine	chemical compound	C0907349
http://www.wikidata.org/entity/Q1243807	tinea cruris	type of fungal infection of the groin region in either sex, though more often seen in males	C0011638
http://www.wikidata.org/entity/Q1269307	dysostosis	bone development disease that results in defective ossification of located in bone	C0013393
http://www.wikidata.org/entity/Q1251847	phosphofructokinase deficiency	Human disease	C0017926
http://www.wikidata.org/entity/Q1266395	duodenum cancer	small intestine cancer that is located in the beginning section of the small intestine	C0153426
http://www.wikidata.org/entity/Q1256980	lateral sulcus	fold of the brain (primary motor cortex) separating the frontal and parietal lobes superiorly from the temporal lobe inferiorly.	C0228187
http://www.wikidata.org/entity/Q1243161	kidney duplication	no description	C0266304
http://www.wikidata.org/entity/Q1266395	duodenum cancer	small intestine cancer that is located in the beginning section of the small intestine	C0541912
http://www.wikidata.org/entity/Q1276885	Froelich syndrome	hypothalamic disease that is characterized by endocrine dysfunction of the hypothalamic gland resulting in delayed puberty, small testes, and obesity	C0016724
http://www.wikidata.org/entity/Q1320428	malocclusion	misalignment or incorrect relation between the teeth of the two dental arches as the jaws close	C0040433
http://www.wikidata.org/entity/Q1286848	Pfeiffer syndrome	acrocephalosyndactylia that has material basis in mutations in the FGFR1 and FGFR2 gene which results in premature fusion located in skull	C0220658
http://www.wikidata.org/entity/Q1283054	hypochondroplasia	osteochondrodysplasia that has material basis in mutation in the FGFR3 gene which affects ossification of cartilage and results in short limb dwarfism	C0410529
http://www.wikidata.org/entity/Q1310507	renal sarcoidosis	no description	C0519067
http://www.wikidata.org/entity/Q1315727	fish poisoning	no description	C1279235
http://www.wikidata.org/entity/Q1320428	malocclusion	misalignment or incorrect relation between the teeth of the two dental arches as the jaws close	C1317785
http://www.wikidata.org/entity/Q1285582	patellar dysplasia	no description	C1699883
http://www.wikidata.org/entity/Q1283812	contracted kidney	no description	C3495403
http://www.wikidata.org/entity/Q1320428	malocclusion	misalignment or incorrect relation between the teeth of the two dental arches as the jaws close	C4280617
http://www.wikidata.org/entity/Q1320428	malocclusion	misalignment or incorrect relation between the teeth of the two dental arches as the jaws close	C4280618
http://www.wikidata.org/entity/Q1361515	heart conduction disease	cardiovascular system disease that involves the heart's electrical conduction system	C0004331
http://www.wikidata.org/entity/Q1330254	Dupuytren's contracture	superficial fibromatosis arising from the soft tissue of the palm	C0013312
http://www.wikidata.org/entity/Q1339466	empty sella syndrome	endocrine disease	C0014008
http://www.wikidata.org/entity/Q1340752	endolymph	inner ear fluid	C0014166
http://www.wikidata.org/entity/Q1340774	endometritis	inflammation of inner lining of uterus	C0014179
http://www.wikidata.org/entity/Q1361515	heart conduction disease	cardiovascular system disease that involves the heart's electrical conduction system	C0029630
http://www.wikidata.org/entity/Q1347105	patch test	medical test to determine the substance causing allergic reaction	C0030646
http://www.wikidata.org/entity/Q1360044	syndactyly	synostosis that results in the fusion of two or more digits	C0039075
http://www.wikidata.org/entity/Q1363794	erythropsia	no description	C0271211
http://www.wikidata.org/entity/Q1339243	emphysema	abnormal presence of air or other gas within tissues	C0333139
http://www.wikidata.org/entity/Q1346721	ependymoblastoma	Human disease	C0700367
http://www.wikidata.org/entity/Q1332565	Naxos disease	Naxos disease is a recessively inherited condition with arrhythmogenic right ventricular dysplasia/cardiomyopathy (ARVD/C) and a cutaneous phenotype, characterised by peculiar woolly hair and palmoplantar keratoderma	C1832600
http://www.wikidata.org/entity/Q1404470	Felty's syndrome	syndrome that results in rheumatoid arthritis, splenomegaly and neutropenia	C0015773
http://www.wikidata.org/entity/Q1392911	ocular melanosis	medical condition	C0025210
http://www.wikidata.org/entity/Q1365325	radial nerve	nerve in the human body that supplies the posterior portion of the upper limb	C0034518
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C0268596
http://www.wikidata.org/entity/Q1385311	fosamprenavir	chemical compound	C1176315
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C1856401
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C1856403
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C1856405
http://www.wikidata.org/entity/Q1392898	cardio-thoracic ratio	no description	C2363738
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C2931346
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C3278154
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C3278155
http://www.wikidata.org/entity/Q1403045	multiple acyl-CoA dehydrogenase deficiency	Human disease	C3278156
http://www.wikidata.org/entity/Q1383410	exacerbation	worsening of a disease	C4086268
http://www.wikidata.org/entity/Q1446169	collagen disease	systemic autoimmune diseases (e.g., rheumatoid arthritis, systemic lupus erythematosus, and systemic sclerosis), but now is thought to be more appropriate for diseases associated with defects in collagen, which is a component of the connective tissue	C0009326
http://www.wikidata.org/entity/Q1435223	focal segmental glomerulosclerosis	kidney disease	C0017668
http://www.wikidata.org/entity/Q1416773	granuloma inguinale	sexually transmitted bacterial disease	C0018190
http://www.wikidata.org/entity/Q1427959	dental fluorosis	human disease	C0026618
http://www.wikidata.org/entity/Q1426443	nocturia	unusually frequent need to urinate at night	C0028734
http://www.wikidata.org/entity/Q1421432	health monitoring	observation of a disease, condition or one or several medical parameters over time	C0030695
http://www.wikidata.org/entity/Q1435409	folie à deux	shared psychosis, a psychiatric syndrome in which symptoms of a delusional belief are transmitted from one individual to another	C0036939
http://www.wikidata.org/entity/Q1442621	Tangier disease	extremely rare inherited human disorder	C0039292
http://www.wikidata.org/entity/Q1419225	petrositis	osteomyelitis that has material basis in infection located in petrous part of temporal bone	C0155448
http://www.wikidata.org/entity/Q1419225	petrositis	osteomyelitis that has material basis in infection located in petrous part of temporal bone	C0155449
http://www.wikidata.org/entity/Q1419225	petrositis	osteomyelitis that has material basis in infection located in petrous part of temporal bone	C0155450
http://www.wikidata.org/entity/Q1426698	trisomy 22	partial or complete triplication of chromosome 22	C0265490
http://www.wikidata.org/entity/Q1434777	lymphatic fistula	no description	C0340791
http://www.wikidata.org/entity/Q1427600	somite	division of the body of an animal or embryo	C0376449
http://www.wikidata.org/entity/Q1412684	Giemsa stain	no description	C0523205
http://www.wikidata.org/entity/Q1423443	H&E stain	histological stain method using hematoxylin and eosin	C0523207
http://www.wikidata.org/entity/Q1421356	hyperacusis	Very rare and extremely debilitating hearing disorder	C0751466
http://www.wikidata.org/entity/Q1417099	accession number	object identifiers used in galleries, libraries, archives, and museums	C1510755
http://www.wikidata.org/entity/Q1417120	Fingerprint body myopathy	disease	C1844560
http://www.wikidata.org/entity/Q1409160	twin-to-twin transfusion syndrome	complication of disproportionate blood supply, resulting in high morbidity and mortality	C2909036
http://www.wikidata.org/entity/Q1422966	Wartenberg's Syndrome	medical condition	CL515417
http://www.wikidata.org/entity/Q1425525	Landolt C	no description	CL540350
http://www.wikidata.org/entity/Q1470830	amniotic fluid  infection	no description	C0002631
http://www.wikidata.org/entity/Q1457751	cavernous sinus	one of the dural venous sinuses	C0007473
http://www.wikidata.org/entity/Q1480291	contracture	prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint	C0009917
http://www.wikidata.org/entity/Q11602751	muscle contracture	Permanent shortening of a muscle	C0009917
http://www.wikidata.org/entity/Q1480291	contracture	prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint	C0009918
http://www.wikidata.org/entity/Q1470140	cryptococcosis	Potentially fatal disease	C0010414
http://www.wikidata.org/entity/Q1476525	lipid metabolism disorder	High cholesterol & lipids	C0023772
http://www.wikidata.org/entity/Q1476361	HAM	human disease	C0030481
http://www.wikidata.org/entity/Q1488684	pseudopolyp	disease	C0032568
http://www.wikidata.org/entity/Q1476525	lipid metabolism disorder	High cholesterol & lipids	C0242339
http://www.wikidata.org/entity/Q55785266	rare dyslipidemia	Rare lipid metabolism disorder	C0242339
http://www.wikidata.org/entity/Q1476789	jaw-winking syndrome	autosomal dominant condition with incomplete penetrance, in which nursing infants will have rhythmic upward jerking of their upper eyelid	C0266521
http://www.wikidata.org/entity/Q1491661	galactosialidosis	rare disease	C0268233
http://www.wikidata.org/entity/Q1492283	Biliary sludge	disease	C0282074
http://www.wikidata.org/entity/Q1480291	contracture	prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint	C0333068
http://www.wikidata.org/entity/Q1480291	contracture	prolonged shortening of the muscle or other soft tissue around a joint, preventing movement of the joint	C1850530
http://www.wikidata.org/entity/Q1476525	lipid metabolism disorder	High cholesterol & lipids	C4025650
http://www.wikidata.org/entity/Q1506572	atrial flutter	abnormal heart rhythm that starts in the atrial chambers of the heart	C0004239
http://www.wikidata.org/entity/Q1501239	insulinoma	tumor that produces too much insulin	C0021670
http://www.wikidata.org/entity/Q1507609	ochronosis	syndrome caused by the accumulation of homogentisic acid in connective tissues	C0028817
http://www.wikidata.org/entity/Q1534677	4-phenolsulfonic acid	chemical compound	C0048670
http://www.wikidata.org/entity/Q1530958	Oxybuprocaine	chemical compound	C0053114
http://www.wikidata.org/entity/Q1526459	pyoderma gangrenosum	condition that causes tissue to become necrotic, causing deep ulcers that usually occur on the legs	C0085652
http://www.wikidata.org/entity/Q1522871	calcific tendinitis	disorder characterized by deposits of hydroxyapatite (a crystalline calcium phosphate) in any tendon of the body	C0158303
http://www.wikidata.org/entity/Q1495301	pseudomembrane	no description	C0240821
http://www.wikidata.org/entity/Q1495797	panhypopituitarism	Human disease	C0242343
http://www.wikidata.org/entity/Q1524940	choroid plexus carcinoma	choroid plexus cancer that has material basis in epithelial cells of the choroid plexus	C0346289
http://www.wikidata.org/entity/Q1502234	genioplasty	no description	C0398907
http://www.wikidata.org/entity/Q1524940	choroid plexus carcinoma	choroid plexus cancer that has material basis in epithelial cells of the choroid plexus	C0431109
http://www.wikidata.org/entity/Q1538227	Kabuki syndrome	rare disease	C0796004
http://www.wikidata.org/entity/Q1586088	hypoparathyroidism	Endocrine disease	C0020626
http://www.wikidata.org/entity/Q1585753	urethral stricture	narrowing of the urethra caused by injury, instrumentation, infection and certain non-infectious forms of urethritis	C0029752
http://www.wikidata.org/entity/Q1583485	Rothmund-Thomson syndrome	human disease	C0032339
http://www.wikidata.org/entity/Q1563808	superinfection	second infection on top of a previous one	C0038826
http://www.wikidata.org/entity/Q1585753	urethral stricture	narrowing of the urethra caused by injury, instrumentation, infection and certain non-infectious forms of urethritis	C0041974
http://www.wikidata.org/entity/Q1566431	hair heterochromia	no description	C0263500
http://www.wikidata.org/entity/Q1550819	theobromine poisoning	overdose reaction to the xanthine alkaloid theobromine	C0274769
http://www.wikidata.org/entity/Q1570013	thrombophilia	abnormality of blood coagulation that increases the risk of thrombosis (blood clots in blood vessels)	C0398623
http://www.wikidata.org/entity/Q1571975	hallux varus	Deviation of the first toe away from the rest of the foot	C0546297
http://www.wikidata.org/entity/Q1546328	tardive dyskinesia	human neurological disorder	C0686347
http://www.wikidata.org/entity/Q1571081	orthokeratology	corrective contact lenses	C1533088
http://www.wikidata.org/entity/Q1570013	thrombophilia	abnormality of blood coagulation that increases the risk of thrombosis (blood clots in blood vessels)	C3160733
http://www.wikidata.org/entity/Q102295421	thrombophilia due to thrombin defect	human disease	C3160733
http://www.wikidata.org/entity/Q1601794	parasitic infectious diseases	infectious disease caused or transmitted by a parasite	C0014238
http://www.wikidata.org/entity/Q1621830	lupus nephritis	inflammation of the kidneys	C0024143
http://www.wikidata.org/entity/Q1600050	retroperitoneal fibrosis	progressive condition characterized by deposition of fibrous tissue in the retroperitoneal space	C0035357
http://www.wikidata.org/entity/Q1616867	vocal cord polyps	A non-neoplastic polypoid swelling of the vocal cord mucosa.  It is usually unilateral and caused by excessive use of the voice.	C0042929
http://www.wikidata.org/entity/Q1628627	left ventricular hypertrophy	medical condition	C0149721
http://www.wikidata.org/entity/Q1617386	hidrocystoma	Human disease	C0206672
http://www.wikidata.org/entity/Q1620725	histamine intolerance	medical condition	C2363929
http://www.wikidata.org/entity/Q1634879	encephalomyelitis	inflammation of the brain and spinal cord	C0014070
http://www.wikidata.org/entity/Q1671598	intrauterine growth restriction	poor growth of fetus in mother's womb during pregnancy	C0015934
http://www.wikidata.org/entity/Q1642049	hematochezia	medical condition	C0018932
http://www.wikidata.org/entity/Q1642058	hemotympanum	no description	C0019125
http://www.wikidata.org/entity/Q1664923	Kraurosis vulvae	rare disease	C0022783
http://www.wikidata.org/entity/Q1642170	hemophagocytic lymphohistiocytosis	uncommon hematologic disorder seen more often in children than in adults	C0024291
http://www.wikidata.org/entity/Q1634645	anal sphincterotomy	surgical procedure that involves cutting mucosal fissures from the anal sphincter	C0193036
http://www.wikidata.org/entity/Q1640868	hyperammonemia	medical condition	C0220994
http://www.wikidata.org/entity/Q1671598	intrauterine growth restriction	poor growth of fetus in mother's womb during pregnancy	C0302511
http://www.wikidata.org/entity/Q1641305	hypochromia	under-colored red blood cells	C0333912
http://www.wikidata.org/entity/Q1660341	shoulder impingement syndrome	syndrome which occurs when the tendons of the rotator cuff muscles become irritated and inflamed as they pass through the subacromial space, the passage beneath the acromion	C0376685
http://www.wikidata.org/entity/Q1640292	adenoiditis	inflammation of the adenoid tissue	C0396023
http://www.wikidata.org/entity/Q1639595	gemifloxacin	chemical compound	C0533545
http://www.wikidata.org/entity/Q1671572	anesthesia awareness	inadequate unconscious state during general anesthesia	C0919727
http://www.wikidata.org/entity/Q1671572	anesthesia awareness	inadequate unconscious state during general anesthesia	C0919728
http://www.wikidata.org/entity/Q1656812	Idiolalia	language,  unintelligible for other people, that  occurs in schizophrenia and similar diseases	C1400366
